,date,open,close,high,low,volume,amount,return
74,2008-08-26,2.636,2.454,2.676,2.451,3370.85,8272.0659,-0.03415243648479793
75,2008-08-27,2.401,2.428,2.492,2.305,3743.93,9090.26204,-0.04504504504504514
76,2008-08-28,2.442,2.358,2.442,2.338,1373.66,3239.0902800000003,0.009263157894736862
77,2008-08-29,2.375,2.412,2.467,2.355,1844.74,4449.51288,-0.05278716216216217
78,2008-09-01,2.368,2.355,2.454,2.243,1955.62,4605.4851,-0.08658379768538382
79,2008-09-02,2.333,2.319,2.397,2.279,903.22,2094.56718,-0.09087030716723554
80,2008-09-03,2.344,2.332,2.352,2.278,825.14,1924.2264799999998,-0.08043478260869552
81,2008-09-04,2.3,2.397,2.411,2.299,964.7,2312.3858999999998,-0.12393162393162394
82,2008-09-05,2.34,2.243,2.367,2.242,2472.17,5545.07731,-0.08489722966934765
83,2008-09-08,2.238,2.131,2.238,2.12,2926.7,6236.797699999999,-0.06816059757236226
84,2008-09-09,2.142,2.131,2.179,2.121,561.32,1196.17292,-0.05160057333970369
85,2008-09-10,2.093,2.115,2.187,2.093,687.53,1454.12595,-0.0520094562647756
86,2008-09-11,2.115,2.05,2.131,2.019,1748.57,3584.5684999999994,0.08084272415482618
87,2008-09-12,2.041,2.048,2.081,2.006,1272.57,2606.22336,0.0549777117384842
88,2008-09-16,2.019,1.996,2.019,1.939,2107.94,4207.44824,-0.0390977443609023
89,2008-09-17,1.995,1.985,2.008,1.963,1050.21,2084.66685,-0.10545084055017828
90,2008-09-18,1.963,2.005,2.018,1.909,1875.7,3760.7785,-0.14425770308123242
91,2008-09-19,2.142,2.206,2.206,2.097,38515.98,84966.25188000001,-0.18206645425580348
92,2008-09-22,2.197,2.13,2.378,2.075,23997.67,51115.037099999994,-0.15220624690133855
93,2008-09-23,2.017,1.917,2.018,1.917,5833.0,11181.861,-0.017950202663578496
94,2008-09-24,1.727,1.756,1.787,1.725,21769.17,38226.66252,-0.04214123006833714
95,2008-09-25,1.756,1.833,1.843,1.756,9784.67,17935.30011,-0.0761226725082147
96,2008-09-26,1.826,1.797,1.826,1.726,8735.1,15696.9747,-0.11199545196134164
97,2008-10-06,1.759,1.71,1.759,1.678,4837.9,8272.809,-0.06086427267194161
98,2008-10-07,1.643,1.696,1.709,1.626,12478.27,21163.14592,-0.041362530413625254
99,2008-10-08,1.644,1.682,1.714,1.644,4175.12,7022.551839999999,-0.0524475524475525
100,2008-10-09,1.716,1.687,1.724,1.667,3526.74,5949.61038,-0.034524530587522695
101,2008-10-10,1.651,1.562,1.66,1.525,7233.46,11298.66452,0.0950545921644188
102,2008-10-13,1.557,1.543,1.56,1.445,4903.03,7565.375289999999,0.15762925598991173
103,2008-10-14,1.586,1.576,1.626,1.576,5242.2,8261.7072,0.15137908915971776
104,2008-10-15,1.559,1.626,1.638,1.514,3389.87,5511.92862,0.07979734008866379
105,2008-10-16,1.579,1.594,1.705,1.548,6756.71,10770.195740000001,0.16697819314641738
106,2008-10-17,1.605,1.705,1.716,1.605,5071.48,8646.8734,0.09853372434017582
107,2008-10-20,1.705,1.836,1.871,1.688,6935.38,12733.357680000001,-0.008237232289950547
108,2008-10-21,1.821,1.795,1.827,1.751,4637.41,8324.15095,0.10508280982295837
109,2008-10-22,1.751,1.705,1.828,1.705,2497.41,4258.0840499999995,0.17528223410576338
110,2008-10-23,1.683,1.873,1.875,1.683,15902.24,29784.89552,0.097326203208556
111,2008-10-24,1.87,1.873,2.006,1.845,10249.13,19196.620489999998,0.08605024051309451
112,2008-10-27,1.871,1.806,1.873,1.798,6971.8,12591.070800000001,0.09303621169916432
113,2008-10-28,1.795,1.935,1.952,1.761,4420.09,8552.87415,-0.028205128205128216
114,2008-10-29,1.95,1.978,2.061,1.912,7658.38,15148.27564,0.016683518705763456
115,2008-10-30,1.978,2.052,2.075,1.978,7999.21,16414.37892,0.0
116,2008-10-31,2.019,2.032,2.065,1.971,3266.15,6636.8168000000005,0.021792966815255
117,2008-11-03,2.019,1.962,2.037,1.93,2351.62,4613.8784399999995,0.11368312757201648
118,2008-11-04,1.944,1.895,1.991,1.839,3173.31,6013.42245,0.10721868365180476
119,2008-11-05,1.884,2.011,2.075,1.864,5424.62,10908.910820000001,0.06364562118126282
120,2008-11-06,1.964,2.019,2.019,1.92,2683.26,5417.501940000001,0.09569138276553102
121,2008-11-07,1.996,2.063,2.141,1.983,5069.65,10458.68795,0.06543868153174981
122,2008-11-10,2.063,2.165,2.186,2.063,6818.91,14762.94015,0.10231023102310233
123,2008-11-11,2.121,2.086,2.15,2.037,7701.78,16065.913079999998,0.0683139534883721
124,2008-11-12,2.064,2.089,2.125,2.041,2599.82,5431.02398,0.15030820293978198
125,2008-11-13,2.109,2.187,2.232,2.044,8555.93,18711.818909999998,0.06639381537062317
126,2008-11-14,2.199,2.198,2.238,2.137,7308.41,16063.88518,0.04530892448512569
127,2008-11-17,2.185,2.338,2.342,2.132,8270.93,19337.43434,-0.062200956937798924
128,2008-11-18,2.299,2.205,2.372,2.168,5785.06,12756.0573,-0.04820372896771252
129,2008-11-19,2.199,2.426,2.426,2.198,12199.27,29595.429020000003,-0.142738932561026
130,2008-11-20,2.417,2.345,2.546,2.333,8522.27,19984.72315,-0.0684811237928008
131,2008-11-21,2.278,2.284,2.392,2.221,4964.07,11337.935879999999,-0.1053321678321677
132,2008-11-24,2.288,2.156,2.342,2.133,4510.43,9724.48708,-0.013151927437641708
133,2008-11-25,2.205,2.093,2.208,2.054,6291.94,13169.03042,0.07851637764932562
134,2008-11-26,2.076,2.072,2.116,2.036,2563.15,5310.8468,0.0734411085450346
135,2008-11-27,2.165,2.122,2.24,2.11,7636.77,16205.22594,0.065359477124183
136,2008-11-28,2.142,2.047,2.142,2.033,2360.04,4831.001880000001,0.14931237721021606
137,2008-12-01,2.036,2.176,2.195,2.036,6530.02,14209.323520000002,0.11576011157601118
138,2008-12-02,2.151,2.239,2.288,2.131,4481.73,10034.593469999998,0.06442953020134223
139,2008-12-03,2.235,2.324,2.333,2.235,5406.53,12564.775719999998,0.07734806629834257
140,2008-12-04,2.353,2.282,2.409,2.254,14490.09,33066.38538,0.072566371681416
141,2008-12-05,2.26,2.34,2.368,2.255,4183.44,9789.2496,-0.03253062948880436
142,2008-12-08,2.367,2.4,2.495,2.367,8099.74,19439.376,-0.013681592039801016
143,2008-12-09,2.412,2.379,2.467,2.355,5559.69,13226.502509999998,0.08361774744027306
144,2008-12-10,2.344,2.535,2.538,2.341,8567.54,21718.713900000002,-0.011512504962286618
145,2008-12-11,2.519,2.424,2.536,2.417,5604.57,13585.477679999998,0.1508403361344537
146,2008-12-12,2.38,2.29,2.406,2.279,6744.91,15445.8439,0.2
147,2008-12-15,2.341,2.379,2.406,2.301,4875.4,11598.576599999999,0.2
148,2008-12-16,2.345,2.54,2.557,2.344,7709.39,19581.8506,0.039145907473309594
149,2008-12-17,2.529,2.49,2.642,2.456,7037.23,17522.7027,0.010714285714285676
150,2008-12-18,2.52,2.739,2.739,2.467,2920.1,7998.153899999999,-0.08318708318708323
151,2008-12-19,2.849,2.838,2.961,2.764,11141.15,31618.5837,-0.06058446186742694
152,2008-12-22,2.806,2.89,2.959,2.723,21001.83,60695.288700000005,-0.1058864507140369
153,2008-12-23,2.871,2.628,2.871,2.613,15665.28,41168.355840000004,0.037209302325581506
154,2008-12-24,2.58,2.547,2.623,2.467,12390.32,31558.14504,0.02170542635658923
155,2008-12-25,2.58,2.612,2.658,2.549,6068.98,15852.17576,0.03379416282642089
156,2008-12-26,2.604,2.636,2.724,2.591,6797.97,17919.448920000003,0.0710466004583652
157,2008-12-29,2.618,2.567,2.664,2.535,5034.46,12923.458820000002,0.11952662721893481
158,2008-12-30,2.535,2.676,2.714,2.535,6571.31,17584.82556,0.06727941176470575
159,2008-12-31,2.72,2.636,2.813,2.636,8049.39,21218.19204,0.11488250652741505
160,2009-01-05,2.681,2.692,2.734,2.626,10024.98,26987.24616,0.09845132743362828
161,2009-01-06,2.712,2.804,2.815,2.692,8694.84,24380.33136,0.01498929336188426
162,2009-01-07,2.802,2.838,2.858,2.75,6401.69,18167.99622,0.06611570247933884
163,2009-01-08,2.783,2.903,2.95,2.751,8786.61,25507.528830000003,0.020618556701030855
164,2009-01-09,2.91,2.989,3.042,2.888,9999.77,29889.31253,-0.012329223592135952
165,2009-01-12,3.001,2.979,3.134,2.972,16010.14,47694.20706,-0.008108108108108136
166,2009-01-13,2.96,2.844,3.037,2.838,14807.49,42112.50156,0.01924422673198034
167,2009-01-14,2.858,2.967,2.97,2.838,5907.18,17526.60306,-0.020442930153321992
168,2009-01-15,2.935,2.97,3.014,2.916,6146.71,18255.7287,-0.03155097974094989
169,2009-01-16,3.011,2.964,3.045,2.893,12598.77,37342.75428,-0.046527085410435265
170,2009-01-19,3.009,2.936,3.05,2.882,5445.26,15987.28336,0.008934707903780037
171,2009-01-20,2.91,2.913,2.941,2.869,2745.42,7997.40846,0.045628700801114475
172,2009-01-21,2.871,2.875,2.944,2.871,3268.38,9396.5925,0.04195561719833574
173,2009-01-22,2.884,2.916,2.944,2.871,3403.96,9925.94736,-0.0037722908093278384
174,2009-01-23,2.916,2.869,2.933,2.869,3416.91,9803.11479,0.03650904033379687
175,2009-02-02,2.876,2.936,2.961,2.876,4445.24,13051.224639999999,0.06403269754768393
176,2009-02-03,2.936,3.002,3.006,2.936,5367.1,16112.0342,0.020652898067954784
177,2009-02-04,3.002,3.005,3.016,2.967,3575.88,10745.5194,0.006960556844547439
178,2009-02-05,3.017,2.905,3.018,2.894,5143.28,14941.228399999998,0.013076393668272512
179,2009-02-06,2.906,2.981,2.989,2.905,6718.62,20028.20622,0.012709030100334306
180,2009-02-09,2.99,3.124,3.167,2.99,9160.91,28618.68284,-0.007388371345968592
181,2009-02-10,3.113,3.064,3.118,3.01,7577.73,23218.16472,-0.0026516407026847544
182,2009-02-11,3.017,3.038,3.138,2.996,6691.77,20329.59726,-0.03539530267945756
183,2009-02-12,3.023,2.944,3.051,2.875,13920.93,40983.21792,-0.0023648648648648685
184,2009-02-13,2.96,3.028,3.032,2.916,12267.06,37144.65768,0.008530183727033958
185,2009-02-16,3.048,3.09,3.163,3.034,18086.07,55885.9563,0.04489664082687339
186,2009-02-17,3.096,3.009,3.107,2.969,10287.24,30954.30516,0.02690735694822899
187,2009-02-18,2.936,2.916,3.017,2.891,10969.01,31985.63316,0.0
188,2009-02-19,3.006,2.953,3.008,2.894,6703.16,19794.43148,0.009491525423728886
189,2009-02-20,2.95,3.074,3.084,2.905,12882.94,39602.15756,-0.08981451350471847
190,2009-02-23,3.073,3.235,3.364,3.029,17293.43,55944.24605,-0.11555277951280452
191,2009-02-24,3.202,3.015,3.264,3.006,13556.86,40873.93290000001,-0.06903353057199213
192,2009-02-25,3.042,3.006,3.084,2.909,10544.19,31695.83514,-0.015257048092869097
193,2009-02-26,3.015,2.978,3.14,2.916,16064.6,47840.378800000006,0.03993115318416529
194,2009-02-27,2.905,2.797,2.995,2.746,11291.34,31581.87798,0.07596291012838807
195,2009-03-02,2.804,2.832,2.894,2.749,6943.19,19663.11408,0.12117943185904334
196,2009-03-03,2.781,2.832,2.871,2.757,4526.21,12818.226719999999,0.14125874125874116
197,2009-03-04,2.86,2.969,2.969,2.86,6543.36,19427.235839999998,0.08864172564880346
198,2009-03-05,2.967,3.021,3.107,2.927,10903.04,32938.08384,0.08481394569225609
199,2009-03-06,2.983,3.017,3.044,2.928,6973.58,21039.290859999997,0.09316154608523286
200,2009-03-09,3.027,3.118,3.219,3.011,19535.62,60912.06316,0.06452669505404529
201,2009-03-10,3.053,3.264,3.297,3.053,19063.5,62223.263999999996,-0.007881176113973876
202,2009-03-11,3.299,3.23,3.322,3.166,8426.44,27217.4012,0.023543990086740907
203,2009-03-12,3.228,3.236,3.253,3.152,9134.54,29559.371440000006,0.01721487857362436
204,2009-03-13,3.253,3.309,3.397,3.23,9469.71,31335.270389999998,-0.02508310667875502
205,2009-03-16,3.309,3.25,3.365,3.219,8750.68,28439.71,0.0018621973929238145
206,2009-03-17,3.222,3.273,3.286,3.196,6152.95,20138.60535,-0.008836075563680601
207,2009-03-18,3.282,3.304,3.309,3.259,6437.46,21269.36784,-0.040643008795875124
208,2009-03-19,3.297,3.309,3.309,3.155,10100.01,33420.933090000006,-0.045882710422363915
209,2009-03-20,3.291,3.226,3.291,3.164,5727.27,18476.173020000002,-0.03409795412275263
210,2009-03-23,3.226,3.228,3.248,3.165,4856.48,15676.71744,-0.014457090126114958
211,2009-03-24,3.251,3.253,3.272,3.209,9896.54,32193.444620000006,0.05967394647800672
212,2009-03-25,3.251,3.163,3.251,3.083,12144.59,38413.338169999995,0.09683604985618399
213,2009-03-26,3.129,3.14,3.166,3.121,8615.7,27053.298000000003,0.10913140311804015
214,2009-03-27,3.143,3.116,3.219,3.084,10627.35,33114.8226,0.17901828681424448
215,2009-03-30,3.117,3.204,3.214,3.113,8710.32,27907.86528,0.17356687898089174
216,2009-03-31,3.14,3.445,3.525,3.14,17832.12,61431.653399999996,0.03908511870295306
217,2009-04-01,3.454,3.432,3.478,3.389,9895.26,33960.53232,0.09554325662685703
218,2009-04-02,3.433,3.486,3.645,3.422,9283.92,32363.745120000003,0.054131054131054235
219,2009-04-03,3.51,3.675,3.675,3.432,11581.87,42563.37225,0.04258804258804272
220,2009-04-07,3.663,3.685,3.767,3.645,9984.48,36792.8088,0.08203870264377211
221,2009-04-08,3.669,3.589,3.855,3.568,10884.84,39065.69076,0.08997214484679672
222,2009-04-09,3.59,3.761,3.809,3.542,12640.71,47541.710309999995,0.023899033297529515
223,2009-04-10,3.724,3.7,3.75,3.636,18804.78,69577.686,0.016181229773462702
224,2009-04-13,3.708,3.819,3.822,3.701,14251.23,54425.447369999994,-0.00990099009901002
225,2009-04-14,3.838,3.97,4.005,3.736,15922.85,63213.7145,-0.032583985855013875
226,2009-04-15,3.959,3.913,4.038,3.869,17523.84,68570.78592,-0.07584128578603722
227,2009-04-16,3.982,3.813,4.051,3.74,17946.97,68431.79661,-0.025586916380902158
228,2009-04-17,3.791,3.768,3.791,3.6,11795.73,44446.310639999996,0.007565522831667115
229,2009-04-20,3.701,3.8,3.836,3.645,8999.89,34199.581999999995,-0.07966235821682932
230,2009-04-21,3.791,3.83,3.874,3.743,9903.15,37929.0645,-0.08529565672422812
231,2009-04-22,3.822,3.68,3.869,3.618,8863.7,32618.416000000005,-0.021467391304347827
232,2009-04-23,3.68,3.694,3.721,3.622,5433.31,20070.64714,0.019918144611186905
233,2009-04-24,3.665,3.729,3.791,3.663,3703.94,13811.99226,0.030880773361976255
234,2009-04-27,3.724,3.489,3.785,3.473,7088.36,24731.28804,0.1071428571428572
235,2009-04-28,3.472,3.496,3.531,3.454,6622.15,23151.036399999997,0.08683151236342712
236,2009-04-29,3.478,3.601,3.644,3.478,5219.42,18795.13142,0.010514665190924255
237,2009-04-30,3.614,3.738,3.755,3.579,4144.91,15493.673579999999,-0.02782236490101664
238,2009-05-04,3.738,3.839,3.869,3.735,8008.8,30745.7832,-0.034356150013113096
239,2009-05-06,3.813,3.844,3.897,3.78,6368.88,24481.97472,-0.0614352090862158
240,2009-05-07,3.874,3.78,3.874,3.757,5754.9,21753.521999999997,-0.015437849347884058
241,2009-05-08,3.757,3.652,3.78,3.623,5132.25,18742.977,0.05740432612312829
242,2009-05-11,3.606,3.634,3.8,3.606,5279.63,19186.17542,0.10892236384704512
243,2009-05-12,3.452,3.682,3.75,3.452,13711.94,50487.36308,0.09975470155355692
244,2009-05-13,3.669,3.636,3.702,3.601,6205.53,22563.30708,0.06590724165988626
245,2009-05-14,3.687,3.699,3.701,3.639,10242.97,37888.746029999995,0.027567567567567508
246,2009-05-15,3.7,3.813,3.868,3.645,13820.91,52699.129830000005,-0.013856209150326926
