id	char
700	尊
701	小
702	少
703	尔
704	尖
705	尘
706	尚
707	尝
708	就
709	尸
710	尽
711	尾
712	局
713	屁
714	层
715	居
716	屈
717	屋
718	展
719	属
720	履
721	屯
722	山
723	屹
724	岁
725	岗
726	岛
727	岩
728	岳
729	岸
730	峡
731	峨
732	峰
733	峻
734	崖
735	崩
736	嵌
737	巅
738	巍
739	川
740	州
741	巢
742	工
743	左
744	巧
745	巨
746	巫
747	己
748	已
749	巴
750	巷
751	巾
752	市
753	布
754	帆
755	师
756	希
757	帐
758	帘
759	帚
760	帛
761	帜
762	帝
763	带
764	席
765	帮
766	帷
767	常
768	幅
769	幕
770	干
771	平
772	年
773	并
774	幸
775	幻
776	幼
777	幽
778	广
779	庄
780	庆
781	庇
782	床
783	序
784	庐
785	应
786	底
787	店
788	庞
789	废
790	度
791	座
792	庭
793	庸
794	延
795	建
796	开
797	异
798	弃
799	弄
800	弈
801	式
802	弓
803	引
804	弟
805	张
806	弥
807	弦
808	弧
809	弯
810	弱
811	弹
812	强
813	归
814	当
815	形
816	彩
817	彰
818	影
819	彷
820	役
821	彻
822	彼
823	往
824	征
825	径
826	待
827	很
828	徉
829	徊
830	律
831	徐
832	徒
833	得
834	徘
835	徜
836	御
837	徨
838	微
839	德
840	心
841	必
842	忆
843	忍
844	忐
845	忑
846	忖
847	志
848	忘
849	忙
850	忧
851	快
852	忱
853	念
854	忽
855	怀
856	态
857	怅
858	怎
859	怒
860	怕
861	怜
862	思
863	急
864	怦
865	性
866	怨
867	怪
868	怯
869	总
870	恋
871	恍
872	恐
873	恒
874	恙
875	恢
876	恨
877	恩
878	恬
879	息
880	恰
881	恶
882	恼
883	悄
884	悉
885	悔
886	悟
887	悠
888	悦
889	您
890	悬
891	悲
892	情
893	惆
894	惊
895	惑
896	惚
897	惜
898	惠
899	惦
900	惧
901	惨
902	惫
903	惬
904	惯
905	惰
906	想
907	惶
908	惹
909	愁
910	愈
911	愉
912	意
913	愕
914	愚
915	感
916	愣
917	愫
918	愿
919	慈
920	慌
921	慎
922	慑
923	慕
924	慢
925	慨
926	慰
927	慷
928	憋
929	憨
930	憾
931	懂
932	懈
933	懊
934	懒
935	懦
936	懵
937	戎
938	戏
939	成
940	我
941	或
942	战
943	戴
944	户
945	房
946	所
947	扇
948	扉
949	手
950	才
951	扎
952	扑
953	打
954	托
955	执
956	扩
957	扫
958	扬
959	扭
960	扮
961	扯
962	扰
963	找
964	承
965	技
966	抄
967	抉
968	把
969	抒
970	抓
971	投
972	抖
973	抗
974	折
975	抚
976	抛
977	抢
978	护
979	报
980	披
981	抬
982	抱
983	抵
984	抹
985	抽
986	拂
987	担
988	拈
989	拉
990	拍
991	拐
992	拒
993	拔
994	拖
995	拘
996	招
997	拜
998	拥
999	拨
1000	择
1001	拮
1002	拱
1003	拼
1004	拾
1005	拿
1006	持
1007	挂
1008	指
1009	按
1010	挑
1011	挚
1012	挠
1013	挡
1014	挣
1015	挤
1016	挥
1017	挫
1018	振
1019	挲
1020	挺
1021	挽
1022	捂
1023	捉
1024	捍
1025	捏
1026	捐
1027	损
1028	捡
1029	换
1030	捧
1031	捺
1032	掀
1033	掉
1034	掌
1035	掏
1036	掐
1037	排
1038	掠
1039	探
1040	接
1041	控
1042	推
1043	掩
1044	措
1045	掰
1046	掷
1047	掺
1048	揉
1049	描
1050	提
1051	插
1052	握
1053	揣
1054	揭
1055	援
1056	搁
1057	搂
1058	搅
1059	搏
1060	搬
1061	搭
1062	携
1063	摁
1064	摆
1065	摇
1066	摊
1067	摔
1068	摘
1069	摧
1070	摩
1071	摸
1072	撇
1073	撑
1074	撒
1075	撕
1076	撞
1077	撩
1078	撬
1079	播
1080	撼
1081	操
1082	擎
1083	擦
1084	支
1085	收
1086	改
1087	攻
1088	放
1089	政
1090	故
1091	效
1092	敌
1093	救
1094	教
1095	敛
1096	敞
1097	敢
1098	散
1099	敬
1100	数
1101	敲
1102	整
1103	文
1104	斑
1105	斓
1106	斗
1107	料
1108	斜
1109	斟
1110	斤
1111	斥
1112	斩
1113	断
1114	斯
1115	新
1116	方
1117	施
1118	旁
1119	旅
1120	旋
1121	旌
1122	族
1123	旗
1124	无
1125	既
1126	日
1127	旦
1128	旧
1129	早
1130	旱
1131	时
1132	旷
1133	旺
1134	昂
1135	明
1136	昏
1137	易
1138	昔
1139	昙
1140	星
1141	映
1142	春
1143	昧
1144	昨
1145	是
1146	昼
1147	显
1148	晃
1149	晒
1150	晓
1151	晕
1152	晚
1153	晦
1154	晨
1155	普
1156	景
1157	晰
1158	晴
1159	晶
1160	智
1161	暂
1162	暄
1163	暇
1164	暑
1165	暖
1166	暗
1167	暧
1168	暮
1169	暴
1170	曙
1171	曲
1172	曳
1173	更
1174	曼
1175	曾
